run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,0.44,0.48,,
2,0.44,0.46,,
3,0.44,0.42,0.44,0.45
4,0.44,0.51,0.44,0.46
5,0.43,0.42,0.44,0.45
6,0.44,0.48,0.44,0.47
7,0.43,0.42,0.43,0.44
8,0.44,0.42,0.44,0.44
9,0.43,0.42,0.43,0.42
10,0.44,0.51,0.44,0.45
11,0.44,0.48,0.44,0.47
12,0.44,0.45,0.44,0.48
13,0.44,0.42,0.44,0.45
14,0.44,0.45,0.44,0.44
15,0.44,0.42,0.44,0.43
16,0.44,0.51,0.44,0.46
17,0.44,0.51,0.44,0.48
18,0.44,0.46,0.44,0.49
19,0.44,0.51,0.44,0.49
20,0.44,0.46,0.44,0.48
21,0.44,0.42,0.44,0.46
22,0.43,0.42,0.44,0.43
23,0.44,0.51,0.44,0.45
24,0.44,0.42,0.44,0.45
25,0.43,0.44,0.44,0.46
26,0.44,0.51,0.44,0.46
27,0.44,0.48,0.44,0.48
28,0.44,0.51,0.44,0.5
29,0.44,0.42,0.44,0.47
30,0.44,0.42,0.44,0.45
31,0.44,0.51,0.44,0.45
32,0.43,0.42,0.44,0.45
33,0.44,0.42,0.44,0.45
34,0.44,0.42,0.44,0.42
35,0.44,0.51,0.44,0.45
36,0.44,0.51,0.44,0.48
37,0.44,0.51,0.44,0.51
38,0.44,0.42,0.44,0.48
39,0.44,0.51,0.44,0.48
40,0.44,0.51,0.44,0.48
41,0.44,0.44,0.44,0.49
42,0.43,0.43,0.44,0.46
43,0.44,0.5,0.44,0.46
44,0.44,0.44,0.44,0.46
45,0.44,0.51,0.44,0.48
46,0.44,0.42,0.44,0.46
47,0.44,0.46,0.44,0.46
48,0.43,0.42,0.44,0.43
49,0.44,0.42,0.44,0.43
50,0.44,0.47,0.44,0.44
