run,avg_price_firm_1,avg_price_firm_2,rolling_avg_firm_1,rolling_avg_firm_2
1,1.12,1.12,,
2,1.13,1.12,,
3,1.12,1.13,1.12,1.12
4,1.13,1.13,1.13,1.13
5,1.12,1.12,1.12,1.13
6,1.13,1.14,1.13,1.13
7,1.13,1.12,1.13,1.13
8,1.14,1.13,1.13,1.13
9,1.12,1.13,1.13,1.13
10,1.13,1.13,1.13,1.13
11,1.13,1.13,1.13,1.13
12,1.14,1.12,1.13,1.13
13,1.13,1.14,1.13,1.13
14,1.12,1.13,1.13,1.13
15,1.13,1.14,1.13,1.14
16,1.13,1.12,1.13,1.13
17,1.13,1.14,1.13,1.13
18,1.12,1.13,1.13,1.13
19,1.12,1.13,1.12,1.13
20,1.13,1.12,1.12,1.13
21,1.12,1.13,1.12,1.13
22,1.12,1.14,1.12,1.13
23,1.15,1.12,1.13,1.13
24,1.13,1.13,1.13,1.13
25,1.13,1.13,1.14,1.13
26,1.12,1.13,1.13,1.13
27,1.14,1.13,1.13,1.13
28,1.13,1.13,1.13,1.13
29,1.12,1.14,1.13,1.13
30,1.13,1.12,1.13,1.13
31,1.13,1.14,1.13,1.13
32,1.13,1.12,1.13,1.13
33,1.13,1.13,1.13,1.13
34,1.13,1.12,1.13,1.12
35,1.12,1.12,1.13,1.12
36,1.12,1.14,1.12,1.13
37,1.13,1.15,1.12,1.14
38,1.13,1.14,1.13,1.14
39,1.12,1.13,1.13,1.14
40,1.12,1.12,1.12,1.13
41,1.12,1.12,1.12,1.12
42,1.14,1.12,1.13,1.12
43,1.14,1.13,1.13,1.12
44,1.12,1.14,1.13,1.13
45,1.12,1.13,1.13,1.13
46,1.13,1.13,1.12,1.13
47,1.13,1.14,1.13,1.13
48,1.13,1.13,1.13,1.13
49,1.12,1.14,1.13,1.14
50,1.13,1.13,1.13,1.13
